======================================================================
Semantic Tag Audit Report — Gemini-powered
Generated: 2026-03-15 19:28:26
======================================================================

Total audited:  3194
Correct:        1946
Incorrect:      1248
API errors:     360

BY TAG:
  Tag              Total  Correct  Incorrect  Error%
  --------------------------------------------------
  animal             417      285        132   31.7%
  body               495      321        174   35.2%
  celestial          267      144        123   46.1%
  clothing           218      110        108   49.5%
  color              179      161         18   10.1%
  food               322      199        123   38.2%
  number             367       92        275   74.9%
  plant              292      224         68   23.3%
  speech             147      103         44   29.9%
  tool               238      114        124   52.1%
  water              252      193         59   23.4%

INCORRECT TAGS (to be removed):
  Headword                  Tag          Reason                                  
  --------------------------------------------------------------------------------
  a                         animal       The word describes a state ('be stretche
  akarawiisuʔ, akarawis     animal       The definition describes a 'tipi cover' 
  arikariipiiruʔ            animal       The word describes an object ('hair tie'
  ariktariipiiruʔ           animal       The word describes an object ('hair tie'
  asaataatuʔ                animal       Manure is animal waste, not an animal it
  askawarik                 animal       A 'trap, snare' is an object used for an
  askiiskatawicaku          animal       A 'flesher' is a tool, not an animal, ev
  askiispatuʔ               animal       A 'scraper' is a tool, not an animal, ev
  aspiituʔ                  animal       'Toenail; claw; hoof' are body parts of 
  astihaaruʔ                animal       'Crown of the head' or 'top of a buffalo
  atiikacaciks              animal       The definition is for a plant, not an an
  awakiir/kir               animal       It's an adjective describing a state, no
  awarii                    animal       It's a verb of motion, not an animal.   
  awaʔa                     animal       It's a verb of motion, not an animal.   
  awihurahac                animal       It's a verb meaning to disappear, not an
  awikaaʔa                  animal       It's a verb of motion, not an animal.   
  awitawaruk                animal       It describes a quality of movement, not 
  awuh                      animal       It's a verb describing an action, not an
  cuuhaarukaʔac             animal       The definition 'cut bangs' refers to hum
  haakapaktaarik            animal       The definition 'drum, beat a drum' refer
  haakapiru                 animal       The definition 'beat a drum' refers to a
  haakapiruus               animal       The definition 'barrel' refers to an obj
  haakaʔuʔ                  animal       The definition 'mouth' is a general body
  haaskiica                 animal       While 'collar' can be for an animal, the
  haasta                    animal       The definition 'be tied on with a string
  haaʔat                    animal       The definition 'wade across water; walk,
  hawiitik                  animal       The definition describes a general actio
  hiihpahat                 animal       The primary meaning is a type of grass (
  hiikuʔ, hiikusuʔ          animal       The definition refers to a human physiol
  hukakusuʔ                 animal       The definition refers to a group of peop
  huukitawiitik             animal       The definition describes a general actio
  ickariihuwaah             animal       The word describes the action 'skin' or 
  ickariitaruhaʔuk          animal       The word describes the action 'tan a hid
  ickataapiiriitik          animal       The word describes the action 'look up' 
  icusaa                    animal       The word describes the action 'snort'. '
  iitkickaruuwat            animal       The word describes the action 'milk' or 
  ikita                     animal       The word describes the action 'ride'. 'a
  ikita(wi)-                animal       The word describes states/actions 'astri
  ikitawiitik               animal       The word describes the action 'mount' or
  ikitawuh                  animal       The word describes the action 'put on a 
  ikskawiʔat                animal       The word describes the actions 'stroke, 
  irisirik                  animal       The word describes the actions 'plant, b
  kaackaraaruʔ              animal       The definition 'calf of the leg' refers 
  kaackaraaruʔ              animal       The definition 'calf of the leg' refers 
  kaakaaraarihtawuh         animal       The word describes the action 'put a cro
  kaatiiwiʔuskaraʔuk        animal       The word describes the actions 'cuss out
  kaaʔa                     animal       The definition 'sprout, come up, as a pl
  kaaʔa                     animal       The definition 'sprout, come up, as a pl
  kaaʔasaturaaruʔ           animal       The definition refers to infrastructure 
  kaaʔasaturaaruʔ           animal       The definition refers to infrastructure 
  kaaʔat                    animal       The definition describes a verb of motio
  kaaʔat                    animal       The definition describes a verb of motio
  kactahaaruʔ               animal       The definition refers to a type of grass
  karaʔuk                   animal       The definition describes a verb of creat
  katasa                    animal       The definition describes position or lin
  kataʔiwarik               animal       The definition refers to the verb 'to sw
  kiica                     animal       It's a verb describing wearing something
  kiicawiʔuʔ                animal       Necklace is an object, not an animal.   
  kiisiriwisisuʔ, kiisiriwi animal       Describes a tool (fishhook) used for cat
  kiiskatariwis             animal       Describes a tool (fishhook) used for cat
  kiiskatawakta/taa         animal       It's a verb describing a sound made by a
  kiispakta/taa             animal       It's a verb describing a sound, not an a
  kiispaktaahus             animal       Whistle is a tool, not an animal.       
  kiispatuʔ                 animal       Fishhook is a tool, not an animal.      
  kiispirariiraʔuk          animal       It's a verb describing an action perform
